"Respostas e iGovTI 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Foram omitidas as respostas a alguns itens do questionário (questão 5.10, itens das questões 1.8, 4.3, 6.1, 6.2 e 6.3), com vistas a não identificar individualmente os respondentes, de acordo com o Acórdão 3.117/2014-TCU-Plenário, item 9.1.3.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Instituição","DescSeg","iGovTI2014","11_a","11_b","11_c","11_d","11_e","11_f","12_a","12_b","12_c","12_d","13_a","13_b","13_c","13_d","14_a","14_b","14_c","14_d","15_a","15_b","15_c","15_d","15_e","16_a","17_a","17_b","17_c","17_d","17_e","18_a","18_b","18_c","18_d","18_e","18_f","21_a","21_b","21_c","21_d","21_e","21_f","21_g","21_h","21_i","21_j","22_a","22_b","22_c","22_d","22_e","22_f","22_g","22_h","22_i","22_j","31_a","31_b","31_c","31_d","32_a","32_b","32_c","32_d","32_e","32_f","32_g","32_h","32_i","41_a","41_b","41_c","41_d","41_e","41_f","41_g","41_h","42_a","42_b","42_c","43_b1","51_a","51_b","51_c","51_d","51_e","51_f","51_g","51_h","51_i","51_j","51_k","51_l","51_m","51_n","52_a","52_b","52_c","52_d","52_e","52_f","53_a","53_b","53_c","53_d","53_e","54_a","54_b","54_c","54_d","54_e","54_f","54_g","54_h","54_i","54_j","54_k","54_l","54_m","54_n","54_o","54_p","54_q","54_r","54_s","54_t","54_u","55_a","55_b","55_c","55_d","55_e","56_a","56_b","56_c","56_d","56_e","56_f","57_a","57_b","57_c","57_d","57_e","57_f","57_g","57_h","57_i","58_a","58_b","58_c","58_d","58_e","59_a","59_b","59_c","59_d","59_e","61_a3","61_a4","61_b3","61_b4","61_c3","61_c4","61_d3","61_d4","61_e3","61_e4","62_a","62_b","621_a4","621_a5","621_b4","621_b5","621_c4","621_c5","621_d4","621_d5","621_e4","621_e5","622_a5","622_a6","622_b5","622_b6","622_c5","622_c6","622_d5","622_d6","622_e5","622_e6","63_a3","63_a4","63_b3","63_b4","63_c3","63_c4","63_d3","63_d4","63_e3","63_e4","64_a","64_b","64_c","64_d","64_e","64_f","64_g","64_h","Utilidade"
21,"Executivo - Sisp",52%,4,4,4,5,3,5,5,5,5,5,4,4,4,2,3,3,3,2,4,4,4,4,2,2,3,3,3,3,4,4,5,5,4,4,4,4,5,5,4,3,5,4,4,5,3,5,5,5,3,5,5,5,4,3,4,3,5,3,2,5,2,2,5,2,2,2,2,4,4,5,5,5,5,5,5,2,4,4,4,1,4,2,3,2,3,2,4,2,2,2,3,2,2,2,3,2,2,1,1,1,3,3,2,3,3,4,3,5,5,3,3,3,4,4,3,3,3,3,3,3,3,3,3,4,5,4,3,3,3,4,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,4,4,4,3,4,4,3,3,3,100,20,100,100,100,100,100,45,100,50,1,1,70,0,20,100,20,0,90,80,20,50,100,10,100,40,,,,,,,100,91,100,97,100,90,100,92,100,94,4,4,4,4,5,4,3,5,5
22,"Executivo - Sisp",51%,4,4,4,5,4,3,4,5,3,3,5,3,5,4,3,3,3,3,4,4,4,4,2,3,2,3,2,3,5,3,4,5,3,3,4,3,5,5,5,3,3,3,3,3,3,5,5,4,5,5,5,4,3,3,3,4,5,2,4,5,3,2,5,4,5,4,4,2,4,5,5,4,4,4,4,4,4,4,4,1,2,2,2,2,3,3,3,3,2,2,3,3,3,3,4,2,2,2,2,2,3,3,3,3,3,5,5,5,4,3,4,2,4,3,4,3,3,4,2,4,2,5,5,5,4,3,4,3,3,4,3,3,3,3,3,3,4,5,5,4,5,5,5,5,4,5,5,5,5,4,4,4,3,3,3,3,100,86,100,69,100,25,100,100,100,83,1,1,69,31,100,0,95,87,78,11,85,19,100,0,100,0,,,,,,,9,5,100,9,5,100,9,7,100,,,,,5,2,4,3,3,4,4,4,5
23,"Executivo - Sisp",42%,3,2,2,5,2,2,5,5,4,5,5,5,5,5,2,2,2,2,2,2,2,2,2,3,2,4,2,3,4,2,4,5,2,2,2,4,5,5,3,4,4,4,5,3,4,5,5,5,5,5,5,5,5,5,5,3,4,3,4,5,5,4,5,4,4,2,2,3,3,3,4,3,2,2,2,2,2,4,2,1,3,3,3,3,4,2,3,2,2,2,5,5,3,2,4,3,2,3,3,2,3,3,3,2,2,5,5,5,4,4,3,2,5,5,3,2,2,2,2,4,2,3,2,2,2,4,5,5,2,2,5,5,4,2,2,2,2,5,5,5,5,5,5,5,5,3,4,5,3,2,2,3,4,5,4,2,100,100,100,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,,,,,,,5,4,4,4,5,2,2,2,4
24,"Executivo - Sisp",57%,3,4,3,5,3,3,3,5,5,4,3,2,4,3,3,3,3,3,4,5,3,3,2,2,5,4,4,3,4,2,5,5,2,2,2,4,4,5,4,5,5,4,5,4,5,4,4,5,3,2,1,1,1,1,1,4,4,2,5,2,2,2,5,2,5,2,2,3,4,5,5,5,5,5,5,5,5,5,5,1,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,5,5,5,4,5,5,5,5,5,5,3,3,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,1,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,50,50,90,90,,,,,,,5,4,5,5,4,5,3,5,5
25,"Executivo - Sisp",57%,5,2,4,5,2,4,5,5,5,4,5,3,5,4,4,4,2,4,3,3,4,5,4,2,2,2,2,2,4,2,2,2,2,2,5,5,5,5,4,5,5,5,5,3,5,4,5,5,2,3,3,3,3,3,3,4,5,4,5,4,2,2,4,2,2,2,5,2,5,5,5,4,2,5,5,5,5,5,5,,3,2,4,2,4,2,4,2,2,2,4,2,4,2,3,2,4,5,5,2,2,2,2,2,2,5,4,4,2,4,3,3,4,4,2,2,2,2,2,4,3,4,3,4,4,4,4,3,3,4,3,3,3,3,3,3,3,5,5,5,5,5,5,5,4,4,3,5,5,4,5,3,5,4,4,4,80,100,50,100,100,0,100,30,100,0,1,1,80,0,80,0,94,6,60,,,,,100,0,,,,,,,,,96,2,99,4,96,2,99,8,80,99,3,,,,,4,4,5,5,4,2,2,4,5
26,"Executivo - Sisp",49%,5,4,5,2,3,3,4,4,4,5,5,5,5,2,3,3,2,2,2,3,2,2,2,2,2,2,2,3,4,3,4,4,4,4,2,3,3,3,3,5,5,4,5,5,4,5,5,5,2,5,5,5,2,4,5,3,4,5,2,5,5,2,5,2,5,2,2,2,3,4,4,2,2,5,5,2,4,5,5,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,5,5,3,3,3,3,5,3,4,3,3,3,3,4,3,3,3,3,3,5,5,4,5,5,3,5,5,4,4,3,5,5,5,5,5,5,5,5,4,5,4,5,2,2,3,4,5,2,2,3,4,75,1,100,1,100,1,0,,,1,1,98,60,95,20,90,50,,,,,100,40,100,10,,,,,,,90,100,99,100,99,85,,,,,5,4,4,4,5,3,2,4,5
27,"Executivo - Sisp",63%,3,2,5,5,2,2,5,5,4,3,5,4,5,5,4,4,2,2,5,5,5,5,2,3,2,5,2,5,5,5,5,2,5,5,5,3,5,5,5,3,3,3,3,3,3,5,4,5,5,4,5,4,3,2,4,4,5,5,2,2,2,2,5,2,5,2,2,3,3,5,5,3,3,5,5,3,5,5,5,,4,3,2,2,5,5,3,2,2,2,5,5,5,5,3,2,2,4,5,3,4,2,2,3,4,3,5,5,5,5,5,5,3,3,4,5,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,4,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,5,5,2,2,2,80,99,95,99,95,99,95,99,,,1,,7,48,12,5,80,0,70,59,0,90,0,85,0,,,,,,,,,,,98,97,41,98,99,94,98,99,55,98,99,18,98,98,96,5,4,4,4,5,4,3,5,5
28,"Executivo - Sisp",32%,2,5,3,3,2,2,2,5,4,4,4,4,5,2,3,3,3,3,2,3,2,3,2,2,4,4,4,4,5,2,2,2,2,2,2,5,5,4,5,5,4,3,4,4,2,3,4,4,4,4,5,5,4,4,4,3,4,2,3,2,3,2,5,2,3,2,2,2,3,2,2,2,2,2,3,2,2,3,2,1,2,2,3,2,2,2,4,4,3,3,3,3,2,2,2,3,3,3,3,2,3,3,2,3,3,4,3,4,4,4,4,3,4,3,4,4,3,4,3,4,3,4,3,5,3,2,3,4,4,4,3,2,3,3,4,3,2,3,5,5,5,4,5,4,5,5,4,4,4,4,4,4,4,4,4,3,200,100,,,,,,,,,,1,,,,,,,,,,,100,10,100,0,100,0,100,0,100,0,1,100,2000,100,,,,,,,5,3,3,3,3,2,2,3,4
29,"Legislativo ou Ministério Público ou Terceiro Setor",29%,5,5,5,5,2,5,2,2,2,2,2,2,5,2,2,2,2,2,4,4,2,2,5,2,2,2,2,2,4,2,3,3,3,3,3,5,5,2,4,5,5,4,5,5,5,2,2,2,2,2,2,2,2,2,2,5,5,3,3,2,2,2,1,1,1,1,1,1,5,5,5,2,2,2,2,2,3,3,3,,3,2,4,2,4,2,4,2,4,2,4,2,4,2,2,2,2,2,2,2,4,4,2,2,2,2,2,2,4,2,4,4,4,2,4,2,2,4,2,4,2,4,2,5,4,4,4,2,2,4,2,2,4,2,2,2,2,5,5,1,1,2,4,5,4,2,5,5,2,2,5,3,5,2,3,3,,,,,,,,,,,1,1,100,117,80,45,100,30,40,15,99,800,100,0,100,100,100,50,,,,,,,,,,,,,,,5,1,1,1,2,5,4,5,4
30,"Legislativo ou Ministério Público ou Terceiro Setor",68%,5,5,5,5,5,5,5,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,1,5,5,5,5,5,5,5,5,5,5,5,5,4,1,2,2,2,4,4,2,4,5,5,4,4,1,1,1,5,2,3,1,2,2,5,5,5,5,5,5,5,5,1,5,1,,2,2,5,5,4,2,5,5,5,5,5,2,5,2,1,1,2,2,2,2,5,5,5,5,2,4,2,5,4,4,5,5,4,4,4,5,4,5,4,5,4,5,4,5,2,3,5,2,2,5,2,5,5,5,5,2,2,5,5,5,2,4,4,5,5,5,4,4,5,4,4,5,5,4,4,4,100,100,100,90,100,100,100,90,100,100,,1,,,,,,,,,,,100,0,100,0,100,0,100,0,100,0,50,100,50,100,100,100,100,100,100,100,3,1,1,1,3,3,3,3,5
31,"Legislativo ou Ministério Público ou Terceiro Setor",35%,2,4,2,2,2,2,2,2,2,4,2,4,4,2,2,2,2,2,4,4,2,2,4,3,2,2,4,4,4,2,4,2,2,4,5,4,5,5,2,4,5,5,5,4,2,4,5,1,2,2,2,2,2,2,4,4,5,2,4,2,2,2,1,1,1,2,2,1,4,4,4,4,4,4,4,5,2,4,1,,2,2,3,2,2,2,2,2,4,2,2,2,2,2,2,5,2,2,2,2,4,4,2,2,2,2,2,2,2,4,4,4,4,2,2,2,2,4,2,4,2,2,2,2,2,4,4,4,4,4,2,2,2,2,2,2,2,4,5,4,4,2,5,5,5,5,4,4,4,4,5,4,4,5,4,5,10,100,99,99,99,4,99,99,99,6,,,,,1,,95,5,95,10,30,35,95,10,20,40,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,9,97,99,9,99,5,2,1,2,1,2,2,5,5
32,"Legislativo ou Ministério Público ou Terceiro Setor",33%,4,5,5,4,2,2,4,5,5,5,2,4,4,2,3,3,3,2,5,5,3,3,4,2,2,2,2,3,2,2,2,2,2,2,2,5,5,5,2,4,2,2,2,2,2,4,5,5,2,5,2,4,4,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,5,4,4,2,4,4,2,3,4,2,,2,2,2,2,4,2,2,2,2,2,4,2,2,2,2,4,4,4,4,4,3,3,3,3,3,3,5,3,3,3,4,4,3,3,3,3,3,4,2,2,2,4,3,5,5,2,5,3,3,4,4,5,4,4,3,3,3,2,2,2,2,2,2,5,2,4,4,4,2,2,2,4,2,2,2,4,,,,,,,,,,,1,1,80,30,90,20,20,50,20,50,16,19,100,,100,0,100,,100,,100,,99,8,100,,,,,70,100,70,100,5,1,1,1,5,5,5,2,5
33,"Executivo - Sisp",72%,4,4,4,5,4,3,5,5,5,5,5,5,5,3,5,5,4,4,4,4,3,3,4,4,5,5,5,5,5,5,2,3,5,5,2,5,5,4,4,4,4,3,3,5,2,5,5,5,5,5,5,5,5,2,5,5,5,3,4,2,2,2,5,2,5,2,2,2,3,5,5,5,5,5,5,4,5,5,1,1,3,3,5,5,5,5,5,5,4,4,5,5,5,5,3,4,2,4,5,4,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5,5,5,5,3,3,3,3,3,3,5,5,2,4,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,2,2,5,5,5,2,2,5,99,8,99,99,3,116,66,85,99,51,100,80,30,206,66,1,1,76,0,54,0,81,256,96,190,94,0,100,-1,100,-2,100,154,100,51,100,303,99,8,99,96,99,8,99,56,99,8,99,97,99,8,99,81,99,8,99,95,5,4,4,4,2,2,2,2,4
34,"Executivo - Dest",65%,5,5,5,5,3,5,5,5,5,3,4,4,5,4,5,5,4,4,3,3,3,3,3,2,4,4,4,5,4,4,3,5,2,2,2,5,5,5,4,5,4,4,4,4,2,5,5,5,5,5,5,5,4,3,5,4,4,4,4,3,2,2,5,2,4,2,2,2,4,2,5,5,5,4,5,2,5,5,2,1,5,5,5,3,5,5,5,5,5,5,5,5,5,5,4,5,5,5,3,4,5,5,2,3,3,4,5,2,5,4,4,3,2,2,2,4,4,4,4,4,2,2,2,4,4,4,4,4,4,4,4,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,4,4,4,2,2,60,80,100,100,80,100,70,100,100,94,1,1,,67,14,22,78,90,10,40,11,65,0,,,,,,,,,,,99,7,91,63,99,7,99,37,87,5,100,100,100,100,99,6,5,4,5,5,2,3,3,2,5
35,"Executivo - Dest",89%,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,1,5,5,5,5,5,5,4,5,5,3,5,5,4,5,1,1,1,5,4,4,1,1,4,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,110,99,5,100,49,99,55,99,49,99,51,99,85,95,102,88,1,1,53,0,16,0,90,0,27,0,9,0,100,0,86,0,87,58,87,0,100,66,99,8,100,99,99,99,97,98,9,98,99,95,99,99,27,5,5,1,1,5,5,1,5,5
36,"Executivo - Dest",74%,5,5,5,5,5,4,4,5,5,5,5,5,4,4,3,4,3,3,5,4,5,5,5,5,4,4,4,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,4,4,5,4,4,5,5,5,5,5,5,2,4,1,1,1,5,5,5,5,5,4,5,5,3,5,4,1,3,4,5,5,5,5,4,3,5,5,5,4,5,4,4,4,4,4,4,4,2,2,2,4,2,5,5,5,5,5,5,2,4,5,4,5,5,5,5,4,4,5,5,5,5,5,5,4,5,5,5,5,5,4,4,3,5,5,5,5,5,3,4,5,5,5,5,5,4,3,4,4,4,4,3,3,98,97,79,99,6,99,69,98,97,99,99,8,99,83,100,97,1,1,97,0,73,0,71,0,56,0,69,0,100,,100,,100,,,,,,98,97,79,99,6,99,69,99,8,99,83,98,97,99,100,97,4,4,4,5,4,2,2,2,5
37,"Executivo - Dest",68%,5,5,4,5,5,5,5,5,4,4,5,4,4,4,4,5,3,4,4,4,4,4,4,4,4,3,5,5,5,5,4,4,5,5,4,5,5,5,4,5,5,4,5,5,4,5,4,5,3,5,5,4,5,4,5,5,4,4,4,2,2,2,5,2,5,2,2,2,5,5,5,5,4,5,5,2,4,4,4,,4,2,4,5,5,4,4,2,4,2,5,3,5,3,4,2,4,5,5,2,5,5,4,3,4,5,4,5,5,5,4,2,5,5,5,3,5,5,4,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,3,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,3,80,107,5,90,105,55,80,66,25,95,101,05,90,111,11,1,1,32,63,82,60,100,31,100,95,97,17,100,0,100,62,100,11,100,0,100,113,5,75,95,100,95,100,80,66,7,,,5,4,2,2,2,2,2,4,5
38,"Executivo - Dest",61%,5,5,5,5,4,3,5,5,5,5,5,5,3,3,3,3,3,3,2,2,3,3,4,4,4,4,4,4,4,4,4,4,3,4,5,5,5,5,5,5,5,5,5,5,2,5,5,5,3,5,5,5,5,5,5,4,4,4,4,2,2,2,5,5,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,1,4,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,4,4,4,3,4,5,5,5,5,5,4,3,5,5,5,4,5,4,4,4,3,2,2,2,3,4,2,2,2,2,2,4,4,4,4,4,4,5,4,4,4,4,1,4,5,5,4,4,4,4,4,4,4,4,4,5,3465151,2,100,0,100,96,100,86,100,90,71,62,1,1,20,0,63,108,50,0,60,0,30,0,100,0,100,0,100,0,100,0,,,,,,,,,,,96,100,4,4,3,4,4,4,4,5,5
39,"Executivo - Dest",66%,4,5,4,5,5,5,4,5,5,5,5,4,5,5,4,4,4,4,4,4,3,2,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,2,5,5,4,5,2,4,5,5,4,4,1,1,1,5,5,2,2,2,1,5,4,4,4,4,4,4,4,3,4,4,,4,4,5,5,5,5,4,4,4,4,5,5,5,5,4,5,3,5,5,5,4,4,4,4,4,5,3,3,5,4,4,3,5,5,4,3,3,4,3,4,5,5,5,5,4,5,5,4,4,4,5,5,5,4,4,5,5,5,5,4,5,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,98,90,78,83,,,,,,,1,1,25,48,3,65,23,07,22,22,50,33,87,80,15,3,,,93,34,11,,,,,,,,,96,100,99,7,100,99,95,100,,,,,4,4,4,4,2,4,2,5,5
40,"Legislativo ou Ministério Público ou Terceiro Setor",47%,5,5,4,2,2,2,5,5,5,5,5,4,5,3,3,3,3,3,3,3,2,2,2,5,5,3,2,2,4,5,5,5,4,3,5,5,5,5,5,5,2,2,4,4,5,5,5,5,3,5,4,4,4,2,5,4,5,4,4,3,3,3,5,2,5,4,2,2,4,4,4,2,2,2,4,4,2,4,2,,4,3,2,2,4,3,4,3,4,3,5,5,2,2,3,4,3,3,3,3,2,2,2,2,2,5,5,2,5,5,4,3,5,5,4,3,3,4,2,3,3,3,3,3,3,4,5,3,3,5,5,5,5,5,5,5,5,4,5,2,5,4,5,5,4,2,4,4,3,3,3,5,5,3,3,5,100,41,24,70,42,59,80,61,36,80,35,38,,,1,1,27,0,50,0,50,0,50,25,83,0,100,100,100,0,100,82,100,43,100,100,,,,,,,,,,,5,1,1,1,2,4,2,5,5
41,"Executivo - Dest",62%,4,4,4,5,5,4,5,5,5,4,5,4,5,4,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,5,5,5,4,5,3,3,3,3,4,5,5,5,3,5,5,5,5,4,5,4,4,5,3,1,1,1,5,5,5,1,1,1,4,4,5,4,5,4,4,5,5,5,5,,5,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,4,4,4,3,4,5,2,3,4,3,2,4,2,3,3,5,2,3,3,3,3,5,5,5,4,5,2,3,5,4,5,4,5,4,2,4,2,5,5,5,2,2,5,5,5,4,4,3,80,100,40,100,100,100,100,100,100,30,1,,30,15,30,20,30,10,30,10,60,20,,,,,,,,,,,90,85,100,100,60,100,95,90,99,100,1,1,1,1,1,1,1,1,5
42,"Executivo - Dest",59%,5,4,5,5,5,4,2,5,4,4,4,4,5,2,3,3,3,3,5,5,5,5,3,2,2,4,4,4,4,3,3,4,3,4,3,5,5,5,4,5,4,4,5,5,5,3,4,4,4,4,4,4,3,3,4,4,5,5,4,4,3,4,5,1,2,4,4,1,5,4,5,3,3,5,5,1,5,5,5,,4,3,3,3,5,5,4,4,2,2,5,4,4,3,4,4,4,3,3,2,4,4,4,4,3,4,2,4,3,5,2,2,2,3,2,3,3,2,2,5,3,2,2,4,5,4,5,5,2,5,5,4,5,4,5,3,5,5,4,3,4,3,4,5,4,5,3,4,3,2,3,3,4,4,4,3,95,100,80,100,95,100,95,100,,,1,1,83,62,0,83,65,0,100,0,,,,,100,0,100,0,100,0,,,,,80,90,60,80,,,,,,,5,4,2,2,2,2,2,5,5
43,"Executivo - Dest",64%,5,5,5,5,5,4,4,5,4,4,5,5,5,4,3,4,3,4,5,5,5,5,5,3,3,3,3,4,5,3,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,2,3,3,3,3,5,3,2,2,2,2,5,5,5,5,4,5,5,5,5,5,5,,4,3,4,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,5,4,3,4,5,3,3,3,3,3,3,3,2,2,3,4,4,3,4,3,4,4,3,3,4,3,5,5,5,4,4,5,4,5,4,5,4,5,5,5,4,5,5,4,5,4,3,5,5,4,4,100,94,99,99,92,94,70,83,90,100,1,,90,5,100,0,80,5,,,,,,,,,,,,,,,99,99,99,99,99,99,,,,,4,2,2,2,4,4,4,5,5
44,"Executivo - Dest",72%,5,5,4,5,5,3,5,5,4,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,3,5,5,4,5,5,5,5,5,4,3,5,5,5,5,5,5,5,4,4,5,4,5,4,5,4,4,4,5,4,5,4,4,5,4,5,4,5,5,5,5,4,4,4,4,,4,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,5,5,5,5,5,4,4,3,3,3,4,4,4,4,4,5,4,4,4,4,5,5,2,2,4,4,5,5,3,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,98,97,2,85,98,03,94,100,98,100,0,0,1,1,58,5,0,,,,,,,,,100,0,83,3,0,100,0,100,0,0,0,98,100,98,94,5,99,100,96,5,100,90,82,25,2,2,2,2,2,2,2,2,5
45,"Executivo - Dest",80%,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,5,5,5,5,5,4,5,4,4,4,5,5,4,5,4,5,5,5,5,5,4,5,5,5,5,5,1,5,5,5,5,5,5,4,5,5,4,4,5,5,5,1,1,1,5,3,3,4,1,1,5,5,5,4,4,4,5,5,5,5,4,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,3,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,3,5,5,5,5,5,5,5,5,4,3,5,5,4,5,3,3,5,3,5,5,4,4,4,4,5,4,5,4,4,3,3,5,5,5,3,4,5,8,650,97,101,57,97,103,09,90,101,33,25,132,1,1,75,0,75,0,75,0,25,0,75,0,100,0,100,0,100,0,100,0,100,0,90,111,11,90,111,11,90,111,11,90,111,11,90,109,44,1,5,5,5,1,1,1,1,5
46,"Executivo - Sisp",46%,3,4,3,5,4,3,3,5,4,4,3,3,4,3,3,3,3,3,2,2,3,3,2,3,3,3,3,2,3,3,4,4,3,3,3,5,5,4,5,5,4,5,4,4,5,4,5,5,5,5,5,5,4,4,4,3,4,2,3,5,5,3,5,2,3,3,3,5,4,3,3,4,4,4,2,2,4,3,2,1,3,3,3,3,4,4,4,3,3,3,4,4,4,3,4,4,3,4,4,2,3,3,3,3,3,4,3,4,4,5,4,4,4,4,4,3,3,4,3,3,3,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,3,5,5,5,5,5,4,5,4,4,4,4,4,4,5,4,4,4,4,5,100,99,100,99,,,,,,,1,,80,20,100,,100,,100,,,,,,,,,,,,,,100,99,100,99,100,98,100,99,100,99,5,4,4,4,4,3,3,4,5
47,"Executivo - Sisp",29%,5,5,5,5,5,5,4,3,1,4,4,4,5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,4,5,4,4,4,2,2,2,2,2,2,2,5,4,2,4,2,2,2,4,2,2,2,4,2,4,2,2,2,2,2,2,2,2,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,4,2,4,4,2,4,2,4,4,4,2,4,4,2,4,4,4,4,2,2,2,4,4,2,2,4,4,4,4,4,5,5,5,5,5,5,4,4,2,4,4,4,4,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,2,2,2,2,5
48,"Executivo - Dest",28%,2,2,2,5,4,2,5,5,4,2,2,2,2,2,2,2,2,2,4,4,2,2,4,2,2,2,2,2,4,2,4,4,2,2,4,2,2,2,2,2,2,2,2,2,2,4,2,4,2,3,2,3,2,2,4,3,4,3,5,2,3,2,5,2,5,2,2,5,4,4,5,5,5,5,3,2,2,2,2,,2,2,5,2,2,2,5,2,2,2,5,2,5,2,2,2,2,5,4,2,2,2,2,2,2,3,5,5,5,3,5,5,2,2,2,2,2,4,2,5,2,2,2,5,2,2,4,4,4,4,2,3,4,2,2,2,2,4,5,2,3,2,2,5,3,5,3,3,2,2,2,5,2,2,2,2,2013,100,2013,100,2013,60,,,,,1,,,,,,,,,,,,,,,,,,,,,,2013,50,2013,100,2013,100,,,,,5,3,4,3,4,2,2,2,5
49,"Executivo - Dest",37%,4,4,4,5,3,4,4,5,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,3,2,4,4,4,5,4,5,5,2,2,5,2,5,5,4,4,4,2,4,4,2,4,4,4,2,5,2,2,4,2,4,4,4,2,4,2,2,2,5,2,2,2,2,2,2,4,5,4,2,4,5,5,2,4,2,,2,2,4,2,4,2,4,2,4,2,2,2,4,2,2,2,2,2,2,2,4,4,2,2,2,2,2,2,2,2,4,2,2,2,4,4,2,4,2,4,2,2,2,2,2,2,4,4,4,4,2,2,4,4,4,2,2,4,4,4,2,2,4,4,4,4,4,4,2,2,2,5,4,4,4,4,1,90,1,100,3,100,9,70,1,50,1,1,90,0,70,30,30,0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,5
