"Respostas e iGovTI 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Foram omitidas as respostas a alguns itens do questionário (questão 5.10, itens das questões 1.8, 4.3, 6.1, 6.2 e 6.3), com vistas a não identificar individualmente os respondentes, de acordo com o Acórdão 3.117/2014-TCU-Plenário, item 9.1.3.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Instituição","DescSeg","iGovTI2014","11_a","11_b","11_c","11_d","11_e","11_f","12_a","12_b","12_c","12_d","13_a","13_b","13_c","13_d","14_a","14_b","14_c","14_d","15_a","15_b","15_c","15_d","15_e","16_a","17_a","17_b","17_c","17_d","17_e","18_a","18_b","18_c","18_d","18_e","18_f","21_a","21_b","21_c","21_d","21_e","21_f","21_g","21_h","21_i","21_j","22_a","22_b","22_c","22_d","22_e","22_f","22_g","22_h","22_i","22_j","31_a","31_b","31_c","31_d","32_a","32_b","32_c","32_d","32_e","32_f","32_g","32_h","32_i","41_a","41_b","41_c","41_d","41_e","41_f","41_g","41_h","42_a","42_b","42_c","43_b1","51_a","51_b","51_c","51_d","51_e","51_f","51_g","51_h","51_i","51_j","51_k","51_l","51_m","51_n","52_a","52_b","52_c","52_d","52_e","52_f","53_a","53_b","53_c","53_d","53_e","54_a","54_b","54_c","54_d","54_e","54_f","54_g","54_h","54_i","54_j","54_k","54_l","54_m","54_n","54_o","54_p","54_q","54_r","54_s","54_t","54_u","55_a","55_b","55_c","55_d","55_e","56_a","56_b","56_c","56_d","56_e","56_f","57_a","57_b","57_c","57_d","57_e","57_f","57_g","57_h","57_i","58_a","58_b","58_c","58_d","58_e","59_a","59_b","59_c","59_d","59_e","61_a3","61_a4","61_b3","61_b4","61_c3","61_c4","61_d3","61_d4","61_e3","61_e4","62_a","62_b","621_a4","621_a5","621_b4","621_b5","621_c4","621_c5","621_d4","621_d5","621_e4","621_e5","622_a5","622_a6","622_b5","622_b6","622_c5","622_c6","622_d5","622_d6","622_e5","622_e6","63_a3","63_a4","63_b3","63_b4","63_c3","63_c4","63_d3","63_d4","63_e3","63_e4","64_a","64_b","64_c","64_d","64_e","64_f","64_g","64_h","Utilidade"
11,"Executivo - Dest",21%,1,1,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,3,4,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,3,3,2,2,2,1,1,1,1,1,4,4,2,3,1,2,2,4,4,4,5,2,2,4,4,4,5,4,5,5,5,3,4,4,,4,2,2,2,2,2,4,2,2,2,3,2,2,2,2,2,2,2,2,2,4,4,3,3,3,3,2,2,2,3,3,2,4,4,4,2,2,2,2,4,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,4,5,3,2,3,2,3,4,5,3,3,2,2,2,5,5,3,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,3,2,2,2,5,3
12,"Executivo - Sisp",51%,2,5,2,2,2,2,4,5,5,5,4,4,5,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,4,5,5,2,5,4,4,4,4,5,5,5,5,5,5,4,4,5,4,5,4,5,5,5,5,2,2,5,2,2,2,2,4,2,4,4,2,2,4,4,1,2,4,1,1,4,4,4,2,4,2,4,2,4,2,4,2,2,2,4,4,4,4,4,4,4,4,2,2,2,5,5,5,2,2,4,4,4,4,4,2,2,2,2,4,4,4,2,5,2,4,4,4,4,4,2,4,4,4,2,2,5,5,5,4,5,4,4,5,5,5,5,5,4,5,5,5,4,4,4,4,100,89,100,60,100,0,100,0,100,88,1,1,0,20,0,15,0,0,0,10,0,10,100,0,100,0,100,0,100,0,100,0,100,95,100,99,100,99,100,99,100,95,4,4,4,5,3,2,2,5,5
13,"Executivo - Sisp",7%,2,2,2,2,2,2,2,2,2,2,2,2,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,4,4,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,4,4,2,2,1,1,2,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,1,1,5,5,5,5,5,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,3
14,"Executivo - Sisp",59%,5,4,4,5,5,3,5,5,5,5,5,5,5,4,5,5,5,5,2,2,2,2,5,4,5,5,5,5,5,2,2,2,2,2,2,5,5,5,5,5,5,2,5,5,1,5,5,5,5,5,5,5,5,4,5,5,4,3,3,1,1,1,5,1,1,1,1,1,4,4,5,4,5,4,5,3,2,2,2,1,2,2,2,2,2,2,3,2,4,2,4,2,4,2,2,2,2,2,2,2,3,3,3,3,3,5,5,5,5,4,5,5,5,5,5,5,3,3,3,4,4,4,4,5,5,4,4,3,3,4,3,3,3,3,3,3,3,5,5,5,5,5,3,5,4,2,5,5,4,4,4,4,4,3,3,3,100,100,100,100,100,100,100,100,100,100,1,1,100,0,100,0,100,0,100,0,,,100,0,100,0,100,0,100,0,100,0,100,100,100,100,100,100,100,100,100,100,1,1,1,1,1,2,2,2,5
15,"Executivo - Sisp",47%,4,5,4,5,2,2,4,5,5,4,3,2,5,3,3,3,3,3,2,2,2,2,2,2,2,2,4,4,4,2,2,2,2,2,2,4,4,4,3,4,3,3,3,4,4,5,5,5,4,5,4,5,4,4,5,3,3,3,4,5,2,2,5,2,2,2,2,3,5,5,5,4,4,5,5,2,5,5,5,,4,3,3,2,3,2,2,2,2,2,3,3,3,3,5,4,4,3,3,3,3,3,3,3,3,4,5,3,3,3,2,2,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,5,5,3,5,5,5,5,4,5,4,5,2,2,4,4,5,2,2,4,1,70,4,100,1,100,1,60,1,70,,1,,,,,,,,,,,14,6,0,37,15,0,100,0,100,0,,,90,99,5,98,99,99,5,99,8,85,95,,,2,2,2,2,2,2,2,2,5
16,"Executivo - Sisp",43%,5,5,4,4,3,2,3,5,5,5,3,5,5,5,3,2,2,2,2,2,2,2,2,2,4,4,2,3,5,2,4,5,3,5,3,5,5,5,5,5,5,5,5,5,5,3,5,5,3,5,4,4,5,5,5,3,4,2,5,5,2,2,5,5,5,2,2,2,2,2,2,2,2,2,4,2,2,5,2,,2,2,4,3,2,2,3,3,2,2,4,3,2,4,2,4,2,5,5,2,3,3,3,3,3,3,3,3,5,5,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,4,2,2,5,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,5,4
17,"Executivo - Sisp",56%,4,4,4,5,3,3,5,5,5,5,5,5,5,5,3,3,3,3,4,4,4,4,2,5,2,2,2,4,5,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,2,4,4,4,5,3,3,5,4,5,4,5,5,5,5,5,4,2,5,5,2,4,5,2,,2,2,2,2,2,2,5,4,4,2,5,4,4,2,5,5,5,5,5,5,4,4,3,3,3,5,5,5,5,5,5,2,5,5,5,3,3,4,3,5,4,5,5,5,4,3,4,2,2,4,2,4,4,4,4,4,4,5,5,4,5,5,5,5,5,5,4,4,4,4,4,5,5,5,2,5,1,100,1,100,1,100,1,70,1,80,1,1,20,0,90,0,90,0,,,,,,,,,,,,,,,1,100,1,100,1,100,1,90,,,5,3,3,4,1,1,1,5,5
18,"Executivo - Sisp",54%,5,5,5,5,2,2,5,5,5,5,4,3,3,2,2,3,3,2,4,4,2,4,2,3,2,2,2,4,5,3,2,2,2,2,2,4,5,5,4,4,3,4,5,3,2,5,5,5,2,5,3,5,4,2,3,5,5,4,2,2,2,2,5,2,4,5,2,2,3,5,5,4,4,5,5,2,5,5,5,1,4,2,3,3,4,2,4,2,3,2,5,3,3,3,4,4,2,4,3,3,2,2,2,2,2,2,5,4,4,4,5,5,4,3,3,5,2,4,2,4,2,4,2,2,2,5,5,2,2,2,5,4,4,2,2,5,4,5,5,5,5,5,3,5,5,4,5,5,2,2,5,5,5,2,2,5,,,,,,,,,,,1,1,50,5,100,10,90,0,,,,,100,0,100,0,100,10,100,15,100,5,96,98,96,98,99,9,98,95,99,9,95,99,9,4,4,4,4,5,2,2,5,5
19,"Executivo - Sisp",45%,4,4,2,2,4,2,4,4,4,5,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,4,4,2,5,4,1,5,2,5,2,5,5,5,4,4,4,4,4,5,5,5,5,5,3,5,4,4,5,4,5,3,4,4,5,5,2,2,4,2,2,2,2,3,3,4,4,4,4,4,5,2,5,4,2,,4,2,3,2,2,2,4,2,2,2,5,3,2,2,4,3,2,4,4,2,2,2,2,3,2,3,3,3,3,2,3,3,3,3,3,3,3,4,2,4,2,4,2,2,3,4,5,4,5,2,3,5,4,4,5,3,5,5,5,4,5,5,5,5,5,5,3,5,4,5,3,3,4,4,5,2,100,94,,,,,,,,,1,1,100,40,40,60,100,10,40,60,,,100,0,100,20,,,,,,,99,4,99,75,,,,,,,,,4,2,2,2,4,2,1,4,5
20,"Executivo - Sisp",60%,5,5,2,5,3,2,5,5,5,5,5,5,2,2,2,2,2,2,4,4,4,5,2,2,2,2,2,4,4,5,4,5,4,4,5,5,5,5,5,5,5,4,5,3,3,5,5,5,5,5,5,4,5,5,5,5,5,4,3,5,2,2,5,2,5,2,5,2,4,4,4,3,3,4,4,4,5,5,5,,3,3,3,2,4,5,3,2,2,2,4,3,3,2,3,2,2,2,2,2,4,4,2,2,2,5,4,4,5,2,4,5,4,5,4,2,2,4,2,4,2,4,3,2,2,5,5,5,2,2,3,5,4,4,4,3,5,5,5,5,5,5,5,5,4,3,5,5,2,2,3,5,5,2,2,3,100,73,100,96,100,100,100,69,97,100,100,1,1,8,0,7,0,50,0,90,0,,,100,0,100,25,,,,,,,80,100,20,15,100,69,97,100,70,100,100,4,3,3,3,4,3,3,3,5
