"Data","Evento","Versão"
20/04/2015,"Publicação inicial.",1.0
26/05/2015,"Inclusão de itens das questões 6.1, 6.2 e 6.3 e remoção, na aba ""Auxiliar"", da escala de resposta para os itens 43_b1, 62_a e 62_b. ",1.1
